,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
2458,2648,2396131,PAYMENT,68170,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-27 22:12:26,-,220000.0,CARD,220000,0,220000,0,12,27
2426,2614,2397059,PAYMENT,8920,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-28 05:12:13,[20% 할인] 네오아카데미 후와리의 스토리가 느껴지는 라이트 노벨 일러스트 할인 쿠폰,250000.0,CARD,200000,50000,200000,0,12,28
2403,2583,2397357,PAYMENT,67842,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-28 09:12:05,-,228000.0,CARD,228000,0,228000,0,12,28
2397,2570,2397435,PAYMENT,8165,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-28 10:12:14,[WELCOME] 디자인 3만원할인,228000.0,CARD,198000,30000,198000,0,12,28
2373,2543,2397578,PAYMENT,7861,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-28 10:12:52,[WELCOME] 디자인 3만원할인,250000.0,POINT,220000,30000,220000,0,12,28
2368,2538,2397641,PAYMENT,74366,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-28 11:12:02,[WELCOME] 디자인 3만원할인,188000.0,CARD,158000,30000,158000,0,12,28
2364,2533,2397684,PAYMENT,75197,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-28 11:12:34,[20% 할인] 네오아카데미 후와리의 스토리가 느껴지는 라이트 노벨 일러스트 할인 쿠폰,250000.0,CARD,200000,50000,200000,0,12,28
2362,2530,2397715,PAYMENT,38638,214032,FASTCAMPUS,올인원,일러스트,네오아카데미: 3명의 아트디렉터에게 배우는 일러스트 스타터 kit,2022-12-28 11:12:06,-,565000.0,CARD,565000,0,565000,0,12,28
2308,2467,2398155,PAYMENT,25408,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-12-28 14:12:36,[WELCOME] 디자인 3만원할인,163000.0,TRANS,133000,30000,133000,0,12,28
2302,2459,2398212,PAYMENT,17785,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-28 14:12:56,[WELCOME] 디자인 3만원할인,250000.0,CARD,220000,30000,220000,0,12,28
