,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
52570,57779,2092903,PAYMENT,46499,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 22:08:51,-,196000.0,CARD,196000,0,196000,0,8,28
52572,57781,2092899,PAYMENT,93209,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-08-28 22:08:41,[WELCOME] The Red 강의 3만원 할인,195500.0,CARD,165500,30000,165500,0,8,28
52573,57782,2092891,PAYMENT,25404,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 22:08:23,[WELCOME] The Red 강의 2만원 할인,141000.0,CARD,121000,20000,121000,0,8,28
52577,57786,2092880,PAYMENT,71707,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 21:08:11,-,330000.0,CARD,330000,0,330000,0,8,28
52588,57797,2092847,PAYMENT,74152,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-08-28 21:08:27,-,234000.0,POINT,234000,0,234000,0,8,28
52594,57803,2092832,PAYMENT,59733,210867,FASTCAMPUS,RED,데이터 사이언스,The Red : Facebook Prophet을 활용한 파이썬 시계열 예측 by Juber Rahman 박사,2022-08-28 21:08:16,-,175000.0,CARD,175000,0,175000,0,8,28
52595,57804,2092831,PAYMENT,66637,210500,FASTCAMPUS,RED,디자인,The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,2022-08-28 21:08:58,[WELCOME] The Red 강의 3만원 할인,375000.0,CARD,345000,30000,345000,0,8,28
52598,57807,2092819,PAYMENT,32664,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-08-28 21:08:52,-,367000.0,CARD,367000,0,367000,0,8,28
52601,57810,2092812,PAYMENT,62502,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 21:08:08,-,196000.0,CARD,196000,0,196000,0,8,28
52608,57817,2092797,PAYMENT,35628,209503,FASTCAMPUS,RED,프로그래밍,The RED : 효과적인 비동기처리를 위한 Kotlin Coroutines & Flow 마스터 by 김용욱,2022-08-28 21:08:42,-,224000.0,CARD,224000,0,224000,0,8,28
52610,57819,2092795,PAYMENT,77250,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 21:08:44,[2만원 할인쿠폰] 김영하 작가의 씀으로써 작가가 되는 글쓰기 강의 할인 쿠폰,141000.0,CARD,121000,20000,121000,0,8,28
52642,57851,2092693,PAYMENT,85081,210405,FASTCAMPUS,RED,마케팅,The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,2022-08-28 20:08:36,[WELCOME] The Red 강의 3만원 할인,167000.0,CARD,137000,30000,137000,0,8,28
52685,57894,2092490,PAYMENT,60263,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-08-28 18:08:51,-,195500.0,CARD,195500,0,195500,0,8,28
52686,57895,2092489,PAYMENT,50346,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 18:08:51,-,330000.0,CARD,330000,0,330000,0,8,28
52707,57916,2092369,PAYMENT,21035,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 17:08:53,[WELCOME] The Red 강의 3만원 할인,196000.0,TRANS,166000,30000,166000,0,8,28
52708,57917,2092368,PAYMENT,55886,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 17:08:24,-,330000.0,CARD,330000,0,330000,0,8,28
52716,57925,2092323,PAYMENT,92336,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 17:08:52,[WELCOME] The Red 강의 3만원 할인,196000.0,CARD,166000,30000,166000,0,8,28
52724,57933,2092293,PAYMENT,65517,204649,FASTCAMPUS,RED,데이터 사이언스,The RED : 칼만필터를 활용한 자율주행 센서퓨전 기술 구현 by 조형기,2022-08-30 15:08:33,-,293000.0,VBANK,293000,0,293000,0,8,30
52727,57936,2092287,PAYMENT,50380,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 16:08:59,-,196000.0,POINT,196000,0,196000,0,8,28
52748,57957,2092207,PAYMENT,21548,208316,FASTCAMPUS,RED,프로그래밍,The RED : 25개 백엔드 개발 필수 현업 예제를 통해 마스터하는 JAVA STREAM,2022-08-28 15:08:25,[WELCOME] The Red 강의 3만원 할인,276000.0,CARD,246000,30000,246000,0,8,28
52750,57959,2092202,PAYMENT,4724,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 15:08:46,[2만원 할인쿠폰] 김영하 작가의 씀으로써 작가가 되는 글쓰기 강의 할인 쿠폰,141000.0,TRANS,121000,20000,121000,0,8,28
52758,57967,2092157,PAYMENT,82731,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 15:08:15,-,196000.0,CARD,196000,0,196000,0,8,28
52780,57990,2091991,PAYMENT,95462,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 14:08:09,-,141000.0,CARD,141000,0,141000,0,8,28
52800,58010,2091903,PAYMENT,16507,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-08-28 13:08:21,[WELCOME] The Red 강의 3만원 할인,195500.0,CARD,165500,30000,165500,0,8,28
52810,58020,2091836,PAYMENT,61885,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 12:08:16,-,330000.0,CARD,330000,0,330000,0,8,28
52814,58024,2091830,PAYMENT,5418,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-08-28 12:08:00,-,169000.0,CARD,169000,0,169000,0,8,28
52817,58027,2091820,PAYMENT,11018,204824,FASTCAMPUS,RED,데이터 사이언스,The RED : 검색엔진 구축을 위한 Elasticsearch 마스터 클래스 by 정호욱 ,2022-08-28 11:08:25,[WELCOME] The Red 강의 3만원 할인,472000.0,CARD,442000,30000,442000,0,8,28
52818,58028,2091816,PAYMENT,36555,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-08-28 11:08:17,-,195500.0,CARD,195500,0,195500,0,8,28
52821,58031,2091813,PAYMENT,30004,203180,FASTCAMPUS,RED,마케팅,The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,2022-08-28 11:08:43,[WELCOME] The Red 강의 3만원 할인,187000.0,POINT,157000,30000,157000,0,8,28
52833,58043,2091753,PAYMENT,11160,209503,FASTCAMPUS,RED,프로그래밍,The RED : 효과적인 비동기처리를 위한 Kotlin Coroutines & Flow 마스터 by 김용욱,2022-08-28 10:08:39,-,224000.0,CARD,224000,0,224000,0,8,28
52840,58050,2091714,PAYMENT,45555,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 10:08:25,-,330000.0,CARD,330000,0,330000,0,8,28
52848,58058,2091691,PAYMENT,5160,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 09:08:29,[2만원 할인쿠폰] 김영하 작가의 씀으로써 작가가 되는 글쓰기 강의 할인 쿠폰,141000.0,CARD,121000,20000,121000,0,8,28
52865,58075,2091632,PAYMENT,16449,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 08:08:39,-,196000.0,CARD,196000,0,196000,0,8,28
