,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
실무 프로젝트로 배우는 Kotlin & Spring : 리팩토링부터 서비스 구현까지,2,0,0,0,1,5,4,1,7,2,4,5,6,1,1,1,1,1,1,2,1,2,1,1,2,2,3,0,1,2,1
올인원패키지 : 20개 실습으로 익히는 Transformer: 시퀀스 데이터 딥러닝,2,1,0,0,8,5,4,10,5,1,3,1,6,1,0,4,0,0,2,0,2,0,2,1,2,6,5,0,1,1,1
올인원 패키지 : 아이패드로 그리는 수채화 소녀 일러스트,1,0,1,2,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
올인원 패키지 : 화사한 색감과 빛의 미소년 일러스트,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
올인원 패키지 : 누구나 가능한 VR/AR 콘텐츠 제작,1,1,0,0,0,1,1,1,2,1,2,1,1,0,2,1,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0
초격차 패키지 : 한 번에 끝내는 빅데이터처리 with Spark&Hadoop,1,3,0,1,4,0,2,4,0,0,4,3,3,5,1,2,0,0,1,0,4,1,1,0,1,0,1,5,1,0,0
"CLASS : 건축, 웹툰, 어디든 가장 쉬운 3D 디자인툴 : 스케치업 튜토리얼",1,0,0,0,1,0,1,2,2,0,1,0,1,0,0,0,0,1,2,0,2,0,3,2,1,2,1,0,1,1,4
올인원 패키지 : 직장인 회계 첫걸음,1,1,0,0,2,1,1,2,1,1,1,2,2,0,0,1,0,0,0,2,2,6,3,0,2,0,1,1,0,0,1
[2022] 올인원 패키지 : 부동산 디벨로퍼,1,0,0,0,1,2,2,0,3,1,0,0,2,0,0,1,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0
초격차 패키지 : 30개 프로젝트로 배우는 프론트엔드 with React,1,0,1,0,8,0,2,3,4,3,4,3,1,3,0,0,1,1,3,0,4,1,1,0,4,2,2,2,1,2,2
"초격차 패키지 : 개발자 취업 합격 패스 With 코딩테스트, 기술면접",1,0,0,0,8,8,5,3,5,2,7,3,7,0,2,2,1,2,2,6,8,2,0,1,7,0,1,3,1,1,13
합격의 하이패스 : SQLD 자격 과정,1,0,0,0,2,1,0,1,0,2,1,0,1,2,2,1,0,1,1,2,2,0,1,0,0,1,1,1,2,1,2
실무 초밀착 리눅스: 클라우드 환경 운영부터 성능분석까지,1,0,0,0,5,2,1,4,2,2,4,2,2,1,0,2,0,1,1,0,3,2,1,1,0,1,0,0,0,0,1
