,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
1859,1859,2402187,PAYMENT,79026,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-12-29 15:12:47,(재발급)[WELCOME] The RED 3만원할인,175000,CARD,145000,30000,145000,-,12,29
1909,1909,2401976,PAYMENT,55410,202878,FASTCAMPUS,RED,업무 생산성,The RED : 최고제품책임자(CPO) 윤희경,2022-12-29 14:12:08,-,244000,CARD,244000,-,244000,-,12,29
1936,1936,2401822,PAYMENT,8647,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-12-29 14:12:36,[WELCOME] The RED 3만원할인,175000,CARD,145000,30000,145000,-,12,29
2045,2045,2401213,PAYMENT,9635,205143,FASTCAMPUS,RED,프로그래밍,The RED : 백엔드 에센셜 : 대용량 서비스를 위한 아키텍처 with Redis by 강대명,2022-12-29 11:12:53,-,286000,CARD,286000,-,286000,-,12,29
2057,2057,2401164,PAYMENT,13918,209521,FASTCAMPUS,RED,디자인,"The RED : 구글이 선택한 디자이너, 한유진의 디자인 시장 생존전략",2022-12-29 10:12:15,[WELCOME] The RED 3만원할인,224000,CARD,194000,30000,194000,-,12,29
2060,2060,2401127,PAYMENT,43575,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-29 10:12:31,[WELCOME] The RED 3만원할인,158000,CARD,128000,30000,128000,-,12,29
2067,2067,2401105,PAYMENT,27931,204649,FASTCAMPUS,RED,데이터 사이언스,The RED : 칼만필터를 활용한 자율주행 센서퓨전 기술 구현 by 조형기,2022-12-29 10:12:01,[WELCOME] The RED 3만원할인,318000,CARD,288000,30000,288000,-,12,29
2099,2099,2400987,PAYMENT,35476,205222,FASTCAMPUS,RED,영상/3D,The RED : 탑 아티스트가 선택한 디렉터 : 권오준이 알려주는 영상 연출의 모든 것,2022-12-29 09:12:00,[WELCOME] The RED 3만원할인,244000,POINT,214000,30000,214000,-,12,29
2117,2117,2400920,PAYMENT,7496,204706,FASTCAMPUS,RED,프로그래밍,The RED : 견고한 UI 설계를 위한 마크업 가이드 by 정찬명,2022-12-29 09:12:59,[WELCOME] The RED 3만원할인,215000,CARD,185000,30000,185000,-,12,29
2148,2148,2400857,PAYMENT,55758,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-29 08:12:03,[WELCOME] The RED 3만원할인,158000,CARD,128000,30000,128000,-,12,29
2178,2178,2400576,PAYMENT,74675,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-12-29 03:12:25,[WELCOME] The RED 3만원할인,201000,POINT,171000,30000,171000,-,12,29
2188,2188,2400487,PAYMENT,16729,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-29 02:12:42,-,339000,CARD,339000,-,339000,-,12,29
2249,2249,2399922,PAYMENT,63491,210776,FASTCAMPUS,RED,데이터 사이언스,The Red : 딥러닝 뉴럴네트워크 GNN,2022-12-28 22:12:24,[WELCOME] The RED 3만원할인,270000,CARD,240000,30000,240000,-,12,28
2274,2274,2399748,PAYMENT,78976,208258,FASTCAMPUS,RED,데이터 사이언스,The RED : Meta 연구원 문경식의 단일 이미지 인식을 통한 Human Pose Estimation,2022-12-28 21:12:59,-,404000,CARD,404000,-,404000,-,12,28
2285,2285,2399553,PAYMENT,1654,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-28 20:12:37,-,339000,CARD,339000,-,339000,-,12,28
2294,2294,2399462,PAYMENT,13980,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-12-28 20:12:59,-,201000,CARD,201000,-,201000,-,12,28
2300,2300,2399357,PAYMENT,57802,209503,FASTCAMPUS,RED,프로그래밍,The RED : 효과적인 비동기처리를 위한 Kotlin Coroutines & Flow 마스터 by 김용욱,2022-12-28 20:12:15,-,229000,CARD,229000,-,229000,-,12,28
2321,2321,2399143,PAYMENT,9941,208345,FASTCAMPUS,RED,데이터 사이언스,The Red : Google 출신 엔지니어와 고성능 검색엔진 만들기 with Elasticsearch,2022-12-28 18:12:05,-,393000,CARD,393000,-,393000,-,12,28
